mapName	mapID	released_year	map_comment	doi	img_tech	n_machines_involved	n_machines_parallel	species	dev	organ	region	fov_x_um	fov_y_um	fov_z_um	fov_mm3	vx_x_nm	vx_y_nm	vx_z_nm	vx_avg_nm	dsSize_nVx	dsSize_TB	DT	imagingRate	imagingRate_perMachine
		year				units	units					um	um	um	um^3	nm	nm	nm	nm	nVx	TB	µs/px	MHz	MHz
mouseCortex	--	2022	Turner 2022	https://doi.org/10.1016/j.cell.2022.01.023	ss - TEMCA	1	1	mouse	adult	brain	cortex	250	140	90	0.00315	3.58	3.58	40	8.003415209	6144471146344	6.144471146	0.002	500	500
mouseCortex	--	2021	MICrONS 2021	https://doi.org/10.1101/2021.07.28.454025	GridTape - autoTEM	5	5	mouse	adult	brain	cortex	1200	820	1066	1.048944	4	4	40	8.61773876	1638980000000000	1638.975	0.009620647051	103.9431126	20.78862253
humanCortex	--	2021	Shapson-Coe 2021	https://doi.org/10.1101/2021.05.29.446289	ATUM - mSEM	1	1	human	adult	brain	cortex	2000	2000	175	0.7	4	4	33	8.082480041	1325760000000000	1325.757576	0.005263	190.0057002	190.0057002
flyNerveCord	--	2021	Phelps 2021	https://doi.org/10.1016/j.cell.2020.12.013	GridTape - TEMCA	1	1	fly	adult	brain	nerveCord	320	950	200	0.0608	4.3	4.3	45	9.405527155	73072531698816	73.0725317	0.0234	42.73504274	42.73504274
nematode	--	1986	White 1986	http://www.jstor.org/stable/2990196?origin=JSTOR-pdf	ss - TEM	2	1	nematode	adult	organism	organism	100	1300	400	0.052	4	4	50	9.283177667	65000000000000	65	undisclosed	undisclosed	undisclosed
cells_FIBSEM	--	2020	Hoffman 2020	DOI: 10.1126/science.aaz5357	FIB - SEM	1	1	cells				100	100	10	0.0001	4	4	4	4	1562500000000	1.5625	5	0.2	0.2
cells_FIBSEM	jrc_hela-21	2021	Weigel 2021	https://doi.org/10.1016/j.cell.2021.03.035	FIB - SEM	1	1	cells				50	10	15.58	7.79e-06	8	8	8	8	15214843750	0.01521484375	undisclosed	undisclosed	undisclosed
cells_FIBSEM	jrc_hela-22	2021	Weigel 2021	https://doi.org/10.1016/j.cell.2021.03.035	FIB - SEM	1	1	cells				83.36	8.46	33	2.32724448e-05	8	8	8	8	45453993750	0.04545399375	undisclosed	undisclosed	undisclosed
cells_FIBSEM	jrc_hela-bfa	2021	Weigel 2021	https://doi.org/10.1016/j.cell.2021.03.035	FIB - SEM	1	1	cells				65	4.8	51.6	1.60992e-05	8	8	8	8	31443750000	0.03144375	undisclosed	undisclosed	undisclosed
cells_FIBSEM	jrc_hela-h89-1	2021	Weigel 2021	https://doi.org/10.1016/j.cell.2021.03.035	FIB - SEM	1	1	cells				80	6	101.82	4.88736e-05	8	8	8	8	95456250000	0.09545625	undisclosed	undisclosed	undisclosed
cells_FIBSEM	jrc_hela-h89-2	2021	Weigel 2021	https://doi.org/10.1016/j.cell.2021.03.035	FIB - SEM	1	1	cells				50	8	98.86	3.9544e-05	8	8	8	8	77234375000	0.077234375	undisclosed	undisclosed	undisclosed
cells_FIBSEM	jrc_hela-1	2021	Weigel 2021	https://doi.org/10.1016/j.cell.2021.03.035	FIB - SEM	1	1	cells				75	8	60	3.6e-05	8	8	8	8	70312500000	0.0703125	undisclosed	undisclosed	undisclosed
cells_FIBSEM	jrc-hela-2	2021	Weigel 2021	https://doi.org/10.1016/j.cell.2021.03.035	FIB - SEM	1	1	cells				48	6	33	9.504e-06	4	4	5.24	4.376736725	113358778626	0.1133587786	undisclosed	undisclosed	undisclosed
cells_FIBSEM	jrc-hela-3	2021	Weigel 2021	https://doi.org/10.1016/j.cell.2021.03.035	FIB - SEM	1	1	cells				50	4	39	7.8e-06	4	4	5.24	4.376736725	93034351145	0.09303435115	undisclosed	undisclosed	undisclosed
