Year	Month	normalized_best_yield	Authors	Method	source	Publication	Method Note	doi	initial_submission	normalized_technology	include	title	abstract	paper_type	channels	probes	stimulation	indicator	detailed_technology	detailed_yield	areas	free_behavior	normalized_species	is_neuropixels	normalized_chronic	normalized_quotes	date_float	cutting_edge	effective_temporal_resolution_hz	calculated_information_rate
1978.0	7.0	7	Durelli et al.	Ephys	S&K	Experimental Neurology	7 electrode assembly	10.1016/0014-4886(78)90270-4	1978-07-01	extracellular_electrophysiology																	1978.495725	2	200.0	1400.0
1983.0	8.0	6	Frostig et al.	Ephys	Stevenson	Brain Research		10.1016/0006-8993(83)90567-X	1983-08-01	extracellular_electrophysiology																	1983.580019	7	200.0	1200.0
1982.0	5.0	6	Kruger	Ephys	Stevenson	Journal of Neuroscience Methods	12 glass-coated wire microelectrodes of different lengths	10.1016/0165-0270(82)90035-8	1982-05-01	extracellular_electrophysiology																	1982.328795	5	200.0	1200.0
1977.0	5.0	6	Abeles and Goldstein	Ephys	Stevenson	Proceedings of the IEEE	1 electrode - focus on sorting	10.1109/PROC.1977.10559	1977-05-01	extracellular_electrophysiology																	1977.329377	2	200.0	1200.0
1983.0	6.0	5	Michalski et al.	Ephys	Stevenson	Experimental Brain Research		10.1007/BF00236807	1983-06-01	extracellular_electrophysiology																	1983.413006	10	200.0	1000.0
1982.0	12.0	5	Wheeler and Heetderks	Ephys	S&K	IEEE Transactions in Biomedical Engineering		10.1109/TBME.1982.324870	1982-12-01	extracellular_electrophysiology																	1982.914707	9	200.0	1000.0
1981.0	3.0	5	Kuperstein and Whittington	Ephys	Stevenson	IEEE Transactions in Biomedical Engineering	24 channel microelectrode	10.1109/TBME.1981.324702	1981-03-01	extracellular_electrophysiology																	1981.162447	7	200.0	1000.0
1975.0	7.0	5	Voronin et al.	Ephys	Stevenson	Brain Research		10.1016/0006-8993(75)90324-8	1975-07-01	extracellular_electrophysiology																	1975.494979	2	200.0	1000.0
1970.0	12.0	5	Humphrey	Ephys	Stevenson	Electroencephalography and Clinical Neurophysiology	5 electrode microdrive	10.1016/0013-4694(70)90105-7	1970-12-01	extracellular_electrophysiology																	1970.914461	0	200.0	1000.0
1976.0	9.0	4	Schmidt et al.	Ephys	Stevenson	Experimental Neurology	7 electrode assembly	10.1016/0014-4886(76)90217-X	1976-09-01	extracellular_electrophysiology																	1976.666804	2	200.0	800.0
1974.0	1.0	3	Dickson and Gerstein	Ephys	S&K	Journal of Neurophysiology	3 electrodes	10.1152/jn.1974.37.6.1239	1974-01-01	extracellular_electrophysiology																	1974.000082	6	200.0	600.0
1972.0	1.0	3	Gerstein and Perkel	Ephys	Stevenson	Biophysical Journal		10.1016/S0006-3495(72)86097-1	1972-01-01	extracellular_electrophysiology																	1971.998672	5	200.0	600.0
1970.0	9.0	3	Kristan and Gerstein	Ephys	Stevenson	Science		10.1126/science.169.3952.1336	1970-09-01	extracellular_electrophysiology																	1970.665311	3	200.0	600.0
1964.0	3.0	3	Gerstein and Clark	Ephys	Stevenson	Science		10.1126/science.143.3612.1325	1964-03-01	extracellular_electrophysiology																	1964.162782	2	200.0	600.0
1962.0	1.0	3	Hubel and Wiesel	Ephys	Stevenson	Journal of Physiology		10.1113/jphysiol.1962.sp006837	1962-01-01	extracellular_electrophysiology																	1961.999836	1	200.0	600.0
1959.0	3.0	3	Amassian et al.	Ephys	Stevenson	Trans. of the New York Academy of Science		10.1111/j.2164-0947.1959.tb01676.x	1959-03-01	extracellular_electrophysiology																	1959.160626	0	200.0	600.0
1969.0	3.0	2	O'Keefe and Bouma	Ephys	Stevenson	Experimental Neurology	8 fixed wires	10.1016/0014-4886(69)90086-7	1969-03-01	extracellular_electrophysiology																	1969.1622	10	200.0	400.0
1967.0	9.0	2	Rodieck	Ephys	Stevenson	Journal of Neurophysiology		10.1152/jn.1967.30.5.1043	1967-09-01	extracellular_electrophysiology																	1967.664565	9	200.0	400.0
1965.0	2.0	2	Oikawa et al.	Ephys	S&K	Yonago acta medica		https://www.ncbi.nlm.nih.gov/pubmed/14287709	1965-02-01	extracellular_electrophysiology																	1965.085457	7	200.0	400.0
1965.0	3.0	2	Evarts	Ephys	S&K	Journal of Neurophysiology	Single electrode picked up 2 units	10.1152/jn.1965.28.2.216	1965-03-01	extracellular_electrophysiology																	1965.162118	8	200.0	400.0
1964.0	10.0	2	Braitenberg et al.	Ephys	S&K	Biological Cybernetics		10.1007/BF00306415	1964-10-01	extracellular_electrophysiology																	1964.748694	6	200.0	400.0
1963.0	8.0	2	Griffith and Horn	Ephys	S&K	Nature		10.1038/199876a0	1963-08-01	extracellular_electrophysiology																	1963.579608	4	200.0	400.0
1961.0	1.0	2	Amassian et al.	Ephys	S&K	Annals of the New York Academy of Sciences		10.1111/j.1749-6632.1961.tb20184.x	1961-01-01	extracellular_electrophysiology																	1961.0005	2	200.0	400.0
1957.0	8.0	2	Baumgarten and Schaefer	Ephys	Stevenson	Pflüger's Archiv für die gesamte Physiologie des Menschen und der Tiere		10.1007/BF00595651	1957-08-01	extracellular_electrophysiology																	1957.580854	0	200.0	400.0
