Year,Month,Neurons,Authors,Method,Source,Publication,Method Note,DOI
1988,7,19,Eckhorn et al.,Ephys,S&K,Biological Cybernetics,,https://doi.org/10.1007/BF00202899
1988,8,29,Aiple and Kruger,Ephys,Stevenson,Experimental Brain Research,,https://doi.org/10.1007/BF00248509
1988,9,8,Abeles and Gerstein,Ephys,S&K,Journal of Neurophysiology,6-electrode,https://doi.org/10.1152/jn.1988.60.3.909
1988,9,8,Drake et al.,Ephys,Stevenson,IEEE Transactions in Biomedical Engineering,,https://doi.org/10.1109/10.7273
1989,4,9,Lindsey et al.,Ephys,S&K,Brain Research,,https://doi.org/10.1016/0006-8993(89)90183-2
1989,6,14,Buzsaki et al.,Ephys,Stevenson,Journal of Neuroscience Methods,,https://doi.org/10.1016/0165-0270(89)90038-1
1990,11,11,Ahissar and Vaadia,Ephys,S&K,Proc. of the National Academy of Sciences,,https://doi.org/10.1073/pnas.87.22.8935
1991,1,10,Mountcastle et al.,Ephys,S&K,Journal of Neuroscience Methods,,https://doi.org/10.1016/0165-0270(91)90140-U
1991,5,82,Meister et al.,Ephys,Stevenson,Science,isolated retina,https://doi.org/10.1126/science.2035024
1991,11,4,Eggermont.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.1991.66.5.1549
1992,1,9,Ahissar et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.1992.67.1.203
1992,9,10,Ahissar et al.,Ephys,Stevenson,Science,,http://doi.org/10.1126/science.1529342
1993,2,30,Shaw et al.,Ephys,Stevenson,Neurological Research,,https://doi.org/10.1080/01616412.1993.11740106
1993,3,23,Nicolelis et al.,Ephys,Stevenson,Proc. of the National Academy of Sciences,,https://doi.org/10.1073/pnas.90.6.2212
1993,8,148,Wilson and McNaughton,Ephys,Stevenson,Science,Tetrodes HC,https://doi.org/10.1126/science.8351520
1993,10,10,Abeles et al.,Ephys,S&K,Journal of Neurophysiology,,https://doi.org/10.1152/jn.1993.70.4.1629
1994,7,74,Wilson and McNaughton,Ephys,Stevenson,Science,Tetrodes HC,https://doi.org/10.1126/science.8036517
1994,10,5,Lindsey et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.1994.72.4.1830
1995,2,16,Vaadia et al.,Ephys,S&K,Nature,,https://doi.org/10.1038/373515a0
1995,6,48,Nicolelis et al.,Ephys,S&K,Science,,https://doi.org/10.1126/science.7761855
1995,10,8,Nini et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.1995.74.4.1800
1995,12,9,Gray et al.,Ephys,Stevenson,Journal of Neuroscience Methods,Tetrode,https://doi.org/10.1016/0165-0270(95)00085-2
1996,1,23,Gothard et al.,Ephys,Stevenson,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.16-02-00823.1996
1996,1,16,Seidemann et al.,Ephys,Stevenson,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.16-02-00752.1996
1996,2,117,Skaggs et al.,Ephys,Stevenson,Hippocampus,Tetrodes,https://doi.org/10.1002/(SICI)1098-1063(1996)6:2%3C149::AID-HIPO6%3E3.0.CO;2-K
1996,3,57,Skaggs et al.,Ephys,Stevenson,Science,Tetrodes,https://doi.org/10.1126/science.271.5257.1870
