id,year,img_tech,,vx_x,vx_y,vx_z,vx_avg,vx_vol,,tgt_vx_size,,exp_paper,exp_eff,,img_rate,vol_rate,,mouse_time,human_time,mouse_str,human_str,,mouse_scopes_1yr,human_scopes_1yr,mouse_scopes_1yr_str,human_scopes_1yr_str,,cost_scope,cost_scopes_mouse_1yr,cost_scopes_human_1yr
,,,,nm,nm,nm,nm3,mm3,,nm,,,,,mhz,mm3/sec,,sec,sec,,,,,,,,,$,,
Qi 2023,2023,Confocal airy light-sheet,,260,260,1060,415.35,7.17E-11,,2,,1.00,207.68,,419,3.00E-02,,1.49E+11,3.58E+14,4.7k years,11.4M years,,4730,11351955,4.7K,11.4M,,,,
Vladimirov 2024,2024,Benchtop mesoSPIM,,750,750,2000,1040.04,1.13E-09,,2,,1.00,520.02,,37,4.16E-02,,1.69E+12,4.05E+15,53.6k years,128.6M years,,53564,128553211,53.6K,128.6M,,100000,5356400000,12855321100000
Tang 2024,2024,Curved LSFM,,630,630,1250,791.64,4.96E-10,,2,,1.00,395.82,,130,6.45E-02,,4.81E+11,1.15E+15,15.2k years,36.6M years,,15246,36588222,15.2K,36.6M,,90000,1372140000,3292939980000
Glaser 2023,2023,ExA-SPIM (1×),,750,750,1000,825.48,5.63E-10,,2,,1.00,412.74,,725,4.08E-01,,8.62E+10,2.07E+14,2.7k years,6.6M years,,2734,6560647,2.7K,6.6M,,250000,683500000,1640161750000
Glaser 2023,2023,ExA-SPIM (2×),,380,380,500,416.40,7.22E-11,,2,,2.00,416.40,,725,5.23E-02,,6.90E+11,1.66E+15,21.9k years,52.5M years,,21869,52485173,21.9K,52.5M,,250000,5467250000,13121293250000
Glaser 2023,2023,ExA-SPIM (3×),,250,250,330,274.24,2.06E-11,,2,,3.00,411.36,,725,1.50E-02,,2.33E+12,5.59E+15,73.8k years,177.1M years,,73808,177137459,73.8K,177.1M,,250000,18452000000,44284364750000
Glaser 2023,2023,ExA-SPIM (4×),,190,190,250,208.20,9.03E-12,,2,,4.00,416.40,,725,6.54E-03,,5.52E+12,1.32E+16,175k years,419.9M years,,174951,419881384,175K,419.9M,,250000,43737750000,104970346000000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacureanu 2019,2019,XNH,,100,100,100,100.00,1.00E-12,,2,,1.00,50.00,,250,2.50E-04,,2.50E+11,6.00E+14,7.9k years,19M years,,7928,19025876,7.9K,19M,,,,
Humbel 2024,2024,µXCT,,650,650,650,650.00,2.75E-10,,2,,1.00,325.00,,115.18,3.16E-02,,5.43E+11,1.30E+15,17.2k years,41.3M years,,17207,41295962,17.2K,41.3M,,,,
Wildenberg 2024,2024,µXCT,,345,345,1600,575.33,1.90E-10,,2,,1.00,287.67,,2.88,5.48E-04,,2.17E+13,5.21E+16,688.1k years,1651.6M years,,688147,1651551666,688.1K,1651.6M,,,,
